Model,MAE,MSE,R2
LinearRegression,82657.946058922,10549721686.159279,0.9146454505138069
RobustRegression,199465.55955429235,61664910393.24919,0.5010881990728202
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.9466217223,10549717660.356375,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,82894.44762396756,10604968581.895864,0.9141984648931063
SGDRegressor,2.1243571906526733e+17,6.86870612414076e+34,-5.5572586104167536e+23
ANN,199057.5857445426,61398857083.53787,0.5032407544733586
RandomForest,98396.32557613871,15067100638.797876,0.8780967284876383
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
